Subject,Chapter,Level,Category,Question,Options,Answer,Explanation
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,"Bought 20,000 goods at 10% disc. Paid via check at 5% cash disc. Purchase Dr amount?","a) 17,000 b) 17,100 c) 18,000 d) 20,000",c,"Purchase is recorded at net trade price: 20,000 - 10% = 18,000."
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,The Ledger is called: i. Primary book; ii. Permanent storehouse; iii. Final book.,"a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,The Ledger is a permanent and final book of accounts. The Journal is the primary book.
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Which discount is deducted from the list price during purchase/sale?,a) Trade Discount b) Cash Discount c) Allowed d) Received,a,Trade discount is deducted from the catalog/list price at the time of the deal.
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,"Received 2,700 from Abir at 10% discount. Discount amount?",a) 27 b) 270 c) 300 d) 2430,c,"Discount = (2,700 / 90) * 10 = 300."
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Which of the following are Contra Entries? i. Personal withdrawal from bank; ii. Deposit into bank; iii. Bank withdrawal for office use.,"a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,Contra entries involve both Cash and Bank accounts within the business. Personal withdrawals are treated as Drawings.
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Bought 20k goods (10% disc). Paid via check (5% cash disc). Bank account Credit amount?,"a) 17,000 b) 17,100 c) 18,000 d) 19,000",b,"Net 18,000 - (5% cash disc) 900 = 17,100."
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,In which step of the Accounting Cycle is a transaction identified?,a) 1st b) 2nd c) 3rd d) 4th,a,Identification of a transaction is the very first step of the cycle.
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"If furniture is purchased for ""Resale,"" which account is debited?",a) Furniture b) Supplies c) Fixed Asset d) Purchase,d,"Items bought for resale are considered ""Goods,"" so they are debited to the Purchase account."
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,What type of discount is it when a creditor waives a portion of the total debt?,a) Trade b) Allowed c) Received d) Quantity,c,Discount received occurs during the settlement of a liability to a creditor.
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"Mr. Samiran's Cash Payment Journal for the month of June 2021 was as follows:
Date 2021 | Debit Account Title | Reference | Purchase Account Debit | Accounts Payable Debit | Other Accounts Debit | Cash Account Credit | Discount Account Credit
June 2 | Purchase | | 5,000 | | | 5,000 |
June 17 | Accounts Payable - Himu | | | 8,000 | | 8,000 |
June 19 | Accounts Payable - Sohag | | | 4,100 | | 4,000 | 100
June 30 | Purchase | | 15,000 | | | 15,000 |
Total | | | 20,000 | 12,100 | 0 | 32,000 | 100
The total of Mr. Samiran's Purchase Journal for the month of June was 30,000 Taka.
Q: What type of journal is used in the stimulus?","(a) General Journal
(b) Special Journal
(c) Corrective Journal
(d) Adjusting Journal",b,"Cash Payment, Cash Receipt, Sales, and Purchase journals are all 'Special Journals'."
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"Mr. Samiran's Cash Payment Journal for the month of June 2021 was as follows:
Date 2021 | Debit Account Title | Reference | Purchase Account Debit | Accounts Payable Debit | Other Accounts Debit | Cash Account Credit | Discount Account Credit
June 2 | Purchase | | 5,000 | | | 5,000 |
June 17 | Accounts Payable - Himu | | | 8,000 | | 8,000 |
June 19 | Accounts Payable - Sohag | | | 4,100 | | 4,000 | 100
June 30 | Purchase | | 15,000 | | | 15,000 |
Total | | | 20,000 | 12,100 | 0 | 32,000 | 100
The total of Mr. Samiran's Purchase Journal for the month of June was 30,000 Taka.
Q: What is the amount of Total Purchase for Mr. Samiran in the month of June 2021?","a) 20,000 b) 30,000 c) 32,000 d) 50,000",d,"Total Purchase = Cash Purchase (20,000) + Credit Purchase (30,000) = 50,000."
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"A partial view of Manisha Enterprise's Bank Account for the month of June 2022 is given below:
Date 2022 | Particulars | Journal Folio | Debit Taka | Credit Taka | Balance Debit | Balance Credit
June 01 | Balance | | | | | 4,000
June 09 | Sales | | 50,000 | | |
June 20 | Purchase | | | 30,000 | |
June 30 | Bank Charge | | | 1,000 | |
Q: What does the balance of the Bank Account on June 01, 2022, represent for the organization?","(a) Liability
(b) Income
(c) Asset
(d) Contra Asset",a,"A Credit balance in a Bank account (Ledger) means a Bank Overdraft, which is a Liability."
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"A partial view of Manisha Enterprise's Bank Account for the month of June 2022 is given below:
Date 2022 | Particulars | Journal Folio | Debit Taka | Credit Taka | Balance Debit | Balance Credit
June 01 | Balance | | | | | 4,000
June 09 | Sales | | 50,000 | | |
June 20 | Purchase | | | 30,000 | |
June 30 | Bank Charge | | | 1,000 | |
Q: What is the balance of the Bank Account on June 30, 2022?","a) 11,000 Cr b) 11,000 Dr c) 15,000 Dr d) 15,000 Cr",b,"Balance = 50,000 (Dr) - 39,000 (Total Credits) = 11,000 (Debit)."
Accounting 1st,Chapter 2,Jessore Board 2023,Board,Owner pays employee salaries using personal funds. Correct Journal?,"a) Salary Dr, Cash Cr b) Salary Dr, Capital Cr c) Salary Dr, Drawings Cr",b,Business expense increases (Salary Dr) and owner's investment increases (Capital Cr).
Accounting 1st,Chapter 2,Jessore Board 2023,Board,"What can be known by preparing Cash Receipt and Cash Payment Journals?

i. Total cash receipts

ii. Total cash payments

iii. Total bank overdraft","a) i & ii

b) i & iii

c) ii & iii

d) i, ii & iii",a,"Cash Receipt and Cash Payment journals track all inflows and outflows of cash/bank. Bank overdraft (iii) is a balance typically determined in the Ledger or Bank Reconciliation, not directly as a total from these journals."
Accounting 1st,Chapter 2,Jessore Board 2023,Board,"Balancing on Jan 1: Cash 1.05L, Bank 1.1L, Furniture 1.15L, Inventory 1.2L, Payable 33k, Due Salary 18k. Total Assets?","a) 3,99,000 b) 4,32,000 c) 4,17,000 d) 4,50,000",d,"Total Assets = Cash + Bank + Furniture + Inventory = 1,05,000 + 1,10,000 + 1,15,000 + 1,20,000 = 4,50,000."
Accounting 1st,Chapter 2,Jessore Board 2023,Board,(Based on previous) What is the Opening Capital?,"a) 51,000 b) 2,15,000 c) 3,99,000 d) 4,50,000",c,"Capital = Total Assets - Total Liabilities = 4,50,000 - (33,000 + 18,000) = 3,99,000."
Accounting 1st,Chapter 2,Dhaka Board 2023,Board,"If land is purchased for the purpose of ""Resale,"" which account is debited?",a) Land A/C b) Development A/C c) Purchase A/C d) Office Equipment,c,"When land is bought to be sold as a business product, it is treated as ""Purchase."""
Accounting 1st,Chapter 2,Dhaka Board 2023,Board,"Which of these is known as the ""Permanent Book"" of account?",a) Trial Balance b) Income Statement c) Journal d) Ledger,d,The Ledger is the final and permanent book where all accounts are stored.
Accounting 1st,Chapter 2,Dhaka Board 2023,Board,Which are the optional steps in the Accounting Cycle? i. Adjusting Entries; ii. Worksheet; iii. Reversing Entries.,"a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,Worksheets and Reversing Entries are optional. Adjusting entries are a mandatory part of the cycle to ensure the accuracy of financial statements.
Accounting 1st,Chapter 2,Dhaka Board 2023,Board,"Sold 80k goods (terms 2/10, n/30). 10k returned. If paid in 10 days, how much is the discount?","a) 200 b) 1,400 c) 1,600 d) 1,800",b,"Discount = (Net amount) 70,000 x 2% = 1,400."
Accounting 1st,Chapter 2,Dhaka Board 2023,Board,"(Based on previous) If paid after 10 days, how much must be paid?","a) 68,600 b) 70,000 c) 78,400 d) 88,200",b,"After 10 days, the 2% discount is lost. The full net amount of 70,000 is due."
Accounting 1st,Chapter 2,Rajshahi Board 2023,Board,Commission is earned but not yet received. Correct Journal?,"a) Cash Dr, Comm Cr b) Accrued Comm Dr, Comm Income Cr",b,Earned but unpaid income is an Asset (Accrued/Receivable Commission).
Accounting 1st,Chapter 2,Rajshahi Board 2023,Board,"Depending on the organization, the Cash Book is called: i. Book of receipts and expenses; ii. Book of receipts and payments; iii. Both Journal and Ledger.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",d,The Cash Book serves as a book of original entry (Journal) and a final account (Ledger) for cash/bank transactions.
Accounting 1st,Chapter 2,Rajshahi Board 2023,Board,Which task is performed in the Ledger?,a) Classification b) Summarization c) Identification d) Recording,a,"Ledger-posting is the process of ""Classifying"" transactions into separate accounts."
Accounting 1st,Chapter 2,Rajshahi Board 2023,Board,Bought 8k goods (10% trade disc). Paid half later with 2% cash disc. Recorded Cash Discount?,a) 72 b) 80 c) 144 d) 160,a,"Net price: 7,200. Half: 3,600. Cash Disc = 3,600 x 2% = 72."
Accounting 1st,Chapter 2,Rajshahi Board 2023,Board,(Based on previous) What is the remaining liability after the half payment?,"a) 3,600 b) 4,000 c) 7,200 d) 7,600",a,"The remaining half of the net trade price (7,200 / 2) is 3,600."
Accounting 1st,Chapter 2,Comilla Board 2023,Board,"In which cash book is ""Cash Discount"" (Allowed/Received) recorded?",a) Single Column b) Double Column c) Triple Column d) Multi-column,c,A Triple-Column Cash Book has a dedicated column for Discount.
Accounting 1st,Chapter 2,Comilla Board 2023,Board,In which year was the Double Entry System founded?,a) 1400 b) 1494 c) 1594 d) 1490,b,Luca Pacioli published the system in 1494.
Accounting 1st,Chapter 2,Comilla Board 2023,Board,"How many columns are there in a ""T-Account"" Ledger format?",a) 5 b) 7 c) 8 d) 10,c,"A T-Account has 8 columns (4 on the Debit side, 4 on the Credit side)."
Accounting 1st,Chapter 2,Comilla Board 2023,Board,"From which language did the words ""Debit"" and ""Credit"" originate?",a) English b) Latin c) Italian d) French,b,They come from the Latin words 'Debere' and 'Credere'.
Accounting 1st,Chapter 2,Comilla Board 2023,Board,Correct Journal for paying Income Tax (for a sole proprietorship)?,"a) Drawings Dr, Cash Cr b) Income Tax Dr, Capital Cr",a,"In sole proprietorships, the owner's income tax is a personal expense (Drawings)."
Accounting 1st,Chapter 2,Comilla Board 2023,Board,What type of book is a Petty Cash Book?,a) Single Column b) Double Column c) Multi-Column d) Triple Column,c,Petty Cash books are usually multi-column to track various small expenses.
Accounting 1st,Chapter 2,Comilla Board 2023,Board,Which of these is NOT a step of the Accounting Cycle?,a) Verification b) Classification c) Journalizing d) Analysis,a,"Verification is a general process but not a formal ""step"" like the others."
Accounting 1st,Chapter 2,Comilla Board 2023,Board,Invested 60k. Bought 10k goods (cash). Sold 20k goods (cash). Ending Cash balance?,"a) 70,000 b) 60,000 c) 69,000 d) 71,000",a,"Cash = 60,000 (Capital) - 10,000 (Purchase) + 20,000 (Sales) = 70,000."
Accounting 1st,Chapter 2,Comilla Board 2023,Board,Invested 60k. 10k goods bought. 20k goods sold. 1k goods returned. Journal for the return?,"a) Sales Ret Dr, Cash Cr b) Sales Ret Dr, Receivable Cr",b,Sales returns reduce the amount owed by the customer (Receivable/Debtor).
Accounting 1st,Chapter 2,Chittagong Board 2023,Board,Which of these is NOT a mandatory step of the Accounting Cycle?,a) Journal b) Ledger c) Worksheet d) Financial Statement,c,The Worksheet is an optional tool used for convenience.
Accounting 1st,Chapter 2,Chittagong Board 2023,Board,Which step of the accounting cycle is optional?,a) Journal b) Ledger c) Trial Balance d) Worksheet,d,A Worksheet is helpful but not a required accounting step.
