Subject,Chapter,Level,Category,Question,Options,Answer,Explanation,HTML_Code
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"Mr. Hasan spent 5,000 for advertising his furniture business. What is the journal entry? i. Furniture Asset/C-Debit; ii. Advertising Expense Asset/C-Debit; iii. Cash Asset/C-Credit.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,Promoting a business is a revenue expense. The entry is Advertising Expense Debit. and Cash Credit. Furniture is not debited as it wasn't purchased for use.,
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"What does ""1/10, net/45"" mean? i. 1% discount if paid within 10 days; ii. 1% discount if paid within 45 days; iii. Must Payable within 45 days.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",b,1/10 means a 1% discount is available within 10 days. Net/45 indicates the total credit period is 45 days.,
Accounting 1st,Chapter 2,Dinajpur Board 2024,Board,"Which is known as the ""Storehouse"" of transactions?",a) Journal b) Ledger c) Trial Balance d) Cash Book,b,The Ledger stores all classified transaction data.,
Accounting 1st,Chapter 2,Dinajpur Board 2024,Board,Which cash book never has a Credit Balance?,"a) Single Column
b) Double Column
c) Triple Column
d) Multi Column",a,Asset single column (cash only) book can never Payable more than it has.,
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,"Bought 20,000 goods at 10% disc. Paid via check at 5% cash disc. Purchase Debit amount?","a) 17,000 b) 17,100 c) 18,000 d) 20,000",c,"Purchase is recorded at net trade price: 20,000 - 10% = 18,000.",
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,The Ledger is called: i. Primary book; ii. Permanent storehouse; iii. Final book.,"a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,The Ledger is a permanent and final book of accounts. The Journal is the primary book.,
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Which discount is deducted from the list price during purchase/sale?,a) Trade Discount b) Cash Discount c) Allowed d) Received,a,Trade discount is deducted from the catalog/list price at the time of the deal.,
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,"Received 2,700 from Abir at 10% discount. Discount amount?",a) 27 b) 270 c) 300 d) 2430,c,"Discount = (2,700 / 90) * 10 = 300.",
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Which of the following are Contra Entries? i. Personal withdrawal from bank; ii. Deposit into bank; iii. Bank withdrawal for office use.,"a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,Contra entries involve both Cash and Bank accounts within the business. Personal withdrawals are treated as Drawings.,
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Bought 20k goods (10% disc). Paid via check (5% cash disc). Bank account Credit amount?,"a) 17,000 b) 17,100 c) 18,000 d) 19,000",b,"Net 18,000 - (5% cash disc) 900 = 17,100.",
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,In which step of the Accounting Cycle is a transaction identified?,a) 1st b) 2nd c) 3rd d) 4th,a,Identification of a transaction is the very first step of the cycle.,
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"If furniture is purchased for ""Resale,"" which account is debited?",a) Furniture b) Supplies c) Fixed Asset d) Purchase,d,"Items bought for resale are considered ""Goods,"" so they are debited to the Purchase account.",
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,What type of discount is it when a creditor waives a portion of the total debt?,a) Trade b) Allowed c) Received d) Quantity,c,Discount received occurs during the settlement of a liability to a creditor.,
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"Mr. Samiran's Cash Payment Journal for the month of June 2021 was as follows:
Date 2021 | Debit (TK) | Reference | Debit (TK) | Debit (TK) | Debit (TK) | Credit (TK) | Credit (TK)
June 2 | Purchase | | 5,000 | | | 5,000 |
June 17 | Accounts Payable - Himu | | | 8,000 | | 8,000 |
June 19 | Accounts Payable - Sohag | | | 4,100 | | 4,000 | 100
June 30 | Purchase | | 15,000 | | | 15,000 |
Total | | | 20,000 | 12,100 | 0 | 32,000 | 100
The total of Mr. Samiran's Purchase Journal for the month of June was 30,000 Taka.
Q: What type of journal is used in the stimulus?","(a) General Journal
(b) Special Journal
(c) Corrective Journal
(d) Adjusting Journal",b,"Cash Payment, Cash Receipt, Sales, and Purchase journals are all 'Special Journals'.","<table border=""1"" style=""border-collapse: collapse; width: 100%;""><tr style=""background-color: #f2f2f2;""><th style=""text-align: left; padding: 5px;"">Date 2021</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Reference</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Credit (TK)</th><th style=""text-align: left; padding: 5px;"">Credit (TK)</th></tr><tr><td style=""text-align: left; padding: 5px;"">June 2</td><td style=""text-align: left; padding: 5px;"">Purchase</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">5,000</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">5,000</td><td style=""text-align: left; padding: 5px;""></td></tr><tr><td style=""text-align: left; padding: 5px;"">June 17</td><td style=""text-align: left; padding: 5px;"">Accounts Payable - Himu</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">8,000</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">8,000</td><td style=""text-align: left; padding: 5px;""></td></tr><tr><td style=""text-align: left; padding: 5px;"">June 19</td><td style=""text-align: left; padding: 5px;"">Accounts Payable - Sohag</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">4,100</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">4,000</td><td style=""text-align: right; padding: 5px;"">100</td></tr><tr><td style=""text-align: left; padding: 5px;"">June 30</td><td style=""text-align: left; padding: 5px;"">Purchase</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">15,000</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">15,000</td><td style=""text-align: left; padding: 5px;""></td></tr><tr><td style=""text-align: left; padding: 5px;"">Total</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">20,000</td><td style=""text-align: right; padding: 5px;"">12,100</td><td style=""text-align: right; padding: 5px;"">0</td><td style=""text-align: right; padding: 5px;"">32,000</td><td style=""text-align: right; padding: 5px;"">100</td></tr></table>"
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,"Mr. Samiran's Cash Payment Journal for the month of June 2021 was as follows:
Date 2021 | Debit (TK) | Reference | Debit (TK) | Debit (TK) | Debit (TK) | Credit (TK) | Credit (TK)
June 2 | Purchase | | 5,000 | | | 5,000 |
June 17 | Accounts Payable - Himu | | | 8,000 | | 8,000 |
June 19 | Accounts Payable - Sohag | | | 4,100 | | 4,000 | 100
June 30 | Purchase | | 15,000 | | | 15,000 |
Total | | | 20,000 | 12,100 | 0 | 32,000 | 100
The total of Mr. Samiran's Purchase Journal for the month of June was 30,000 Taka.
Q: What is the amount of Total Purchase for Mr. Samiran in the month of June 2021?","a) 20,000 b) 30,000 c) 32,000 d) 50,000",d,"Total Purchase = Cash Purchase (20,000) + Credit Purchase (30,000) = 50,000.","<table border=""1"" style=""border-collapse: collapse; width: 100%;""><tr style=""background-color: #f2f2f2;""><th style=""text-align: left; padding: 5px;"">Date 2021</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Reference</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Debit (TK)</th><th style=""text-align: left; padding: 5px;"">Credit (TK)</th><th style=""text-align: left; padding: 5px;"">Credit (TK)</th></tr><tr><td style=""text-align: left; padding: 5px;"">June 2</td><td style=""text-align: left; padding: 5px;"">Purchase</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">5,000</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">5,000</td><td style=""text-align: left; padding: 5px;""></td></tr><tr><td style=""text-align: left; padding: 5px;"">June 17</td><td style=""text-align: left; padding: 5px;"">Accounts Payable - Himu</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">8,000</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">8,000</td><td style=""text-align: left; padding: 5px;""></td></tr><tr><td style=""text-align: left; padding: 5px;"">June 19</td><td style=""text-align: left; padding: 5px;"">Accounts Payable - Sohag</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">4,100</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">4,000</td><td style=""text-align: right; padding: 5px;"">100</td></tr><tr><td style=""text-align: left; padding: 5px;"">June 30</td><td style=""text-align: left; padding: 5px;"">Purchase</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">15,000</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">15,000</td><td style=""text-align: left; padding: 5px;""></td></tr><tr><td style=""text-align: left; padding: 5px;"">Total</td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: left; padding: 5px;""></td><td style=""text-align: right; padding: 5px;"">20,000</td><td style=""text-align: right; padding: 5px;"">12,100</td><td style=""text-align: right; padding: 5px;"">0</td><td style=""text-align: right; padding: 5px;"">32,000</td><td style=""text-align: right; padding: 5px;"">100</td></tr></table>"
