Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2025,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,Who introduced the concept of Social Business?,Dr. Muhammad Yunus,Sir Fazle Hasan Abed,Abraham H. Maslow,Dr. Philip Kotler,a,Dr. Muhammad Yunus is internationally recognized for developing and promoting the Social Business model.
2025,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,What is the primary objective of business?,Public service,Production,Profit making,Distribution,c,"While there are social goals, the fundamental and primary objective of any business is to earn profit."
2025,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,"Mr. 'A' buys rice from India, packs it, and sells it to Middle Eastern countries. What type of foreign trade is this?",Export,Entrepot,Import,Sales Promotion,b,This is Entrepot trade because the product is imported from one country and sold to another country after packaging.
2025,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,Which of the following represents the economic importance of business?,Solving unemployment,Supply of goods,Relation building,Govt. Revenue Increase,d,Increasing government revenue through taxes and duties is a direct economic contribution of business.
2025,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"What are the main objectives of Social Business? (i. Poverty alleviation, ii. Reducing unemployment, iii. Preventing environmental pollution)",i & ii,i & iii,ii & iii,"i, ii & iii",d,Social Business aims to solve social and environmental problems rather than maximizing personal profit.
2025,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"Which of the following help in a country's economic development? (i. Product export, ii. Manpower export, iii. Product import)",i & ii,i & iii,ii & iii,"i, ii & iii",a,"Exporting products and manpower brings in foreign currency, whereas excessive imports can drain a country's wealth."
2025,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"After training, Milon releases fish fry into his pond and sells them. Which industry does Milon's business belong to?",Extractive,Genetic,Agriculture,Manufacturing,b,Breeding and raising living organisms (like fish or poultry) for profit is part of the Genetic Industry.
2025,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,Rifat imported blankets but suffered losses due to a lack of storage space. What type of business problem did he face?,Packaging,Marketing,Insurance,Warehousing,d,Warehousing removes the time-related barrier by providing storage for products until they are needed.
2025,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,Laptop manufacturing by Walton belongs to which industry?,Construction,Processing,Compound,Assembly,d,"Assembly industry involves putting together different parts to create a final product, like a laptop or a car."
2025,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,Soap manufacturing belongs to which type of industry?,Assembly,Analytical,Compound,Extractive,c,"A compound industry combines multiple raw materials to create a new single product, like soap or cement."
2025,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,Which is the primary function of business?,Production,Distribution,Service,Product Supply,a,"Production is considered the primary function because without it, there are no goods to distribute or sell."
2025,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,Stem: Mr. Robin set up a factory for producing handicrafts to alleviate poverty and create employment. He cannot take dividends from the profit but can withdraw his capital. Q: Which industry does the factory belong to?,Manufacturing,Primary,Construction,Service,a,Converting raw materials into finished goods using labor or machinery is part of the Manufacturing industry.
2025,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,"(Following above stem:) In Robin's Social Business, what benefits will occur? (i. Profit will be maximized, ii. Fair wages for workers, iii. Profits spent for the organization)",i & ii,i & iii,ii & iii,"i, ii & iii",c,Social businesses focus on worker welfare and reinvesting profits into the company instead of profit maximization.
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,Mr. Riaz breeds and sells fish from his pond. Which industry is he involved in?,Compound,Genetic,Service Provider,Processing,b,Raising fish from fry (reproduction) is a classic example of the Genetic Industry.
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,"(Follow above stem:) What are the outcomes of Mr. Riaz's activities? (i. Proper resource use, ii. Better standard of living, iii. Social development)",i & ii,i & iii,ii & iii,"i, ii & iii",d,"Business activities lead to resource utilization, income generation (standard of living), and community growth."
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,What is the activity related to buying and selling called?,Commerce,Industry,Trade,Business,c,Trade refers specifically to the act of buying and selling goods for profit.
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,Which one is an aid to trade (Commerce)?,Warehousing,Production,Retail Trade,Entrepot,a,"Warehousing, Banking, and Transport are aids to trade (auxiliary services), while Trade is the core of commerce."
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,"Which are included in Direct Services? (i. Teacher, ii. Engineer, iii. Restaurant)",i & ii,i & iii,ii & iii,"i, ii & iii",a,Direct services are professional services provided for a fee. Restaurants are usually considered a trade/business.
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,Miron Mia is a wholesaler who stores flowers in cold storage. Which branch of business does this belong to?,Industry,Direct Service,Commerce,Production,c,Storing and distributing goods (Warehousing and Wholesaling) are core activities of Commerce.
2025,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,"(Following above stem) What utilities are created by Miron Mia's activities? (i. Time-based, ii. Place-based, iii. Risk-based)",i & ii,i & iii,ii & iii,"i, ii & iii",a,"Cold storage creates time utility, and moving flowers from Jessore to other districts creates place utility."
2025,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,What utility does transportation create in business?,Place-based,Time-based,Ownership-based,Risk-based,a,Transportation creates place utility by bridging the distance between producers and consumers.
2025,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,Which of the following is the primary/core task of business?,Profit Making,Customer Service,Production,Purchase,c,Production is the foundational task that creates form utility for all other business activities.
2025,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,What is the objective of Social Business?,Profit & Social Welfare,Dividends & Poverty,Social Welfare & Poverty,Profit & Dividends,c,The primary goal is social benefit and poverty alleviation without the intention of taking dividends.
2025,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,"Which belong to the Genetic Industry? (i. Fish fry from eggs, ii. Fishing from sea, iii. Poultry farm)",i & ii,i & iii,ii & iii,"i, ii & iii",b,"Collecting fish from the sea is ""Extractive Industry,"" while fish fry and poultry are ""Genetic Industry."""
2025,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,Mr. Ali collects mangoes from Rajshahi and sells them to retailers. Which branch of business does his work belong to?,Industry,Direct Service,Commerce,Production,c,Trade and distribution of goods (Wholesaling/Retailing) fall under the umbrella of Commerce.
2025,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,"Before selling, Mr. Ali divides the mangoes according to their size (small/large). Which task is he performing?",Grading,Standardization,Packaging,Financing,a,Dividing products into different classes based on established standards (like size or weight) is called Grading.
2025,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,Which of the following falls under 'Trade' or exchange of goods?,Transport & Warehousing,Wholesale & Transport,Retail & Production,Wholesale & Export,d,Trade consists of internal (wholesale/retail) and foreign (import/export/entrepot) exchange of goods.
2025,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,Which is the first and fundamental task of business?,Financing,Production,Buy-Sell,Risk-taking,b,Production is the primary task as it creates the product which is later sold for profit.
2025,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,Which one is included in Direct Services?,Medicine Production,Audit Firm,Electricity Production,Water Supply,b,"Legal, medical, or audit services provided by professionals for a fee are classified as Direct Services."
2025,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,What type of industry are Steel and Fertilizer production?,Analytical,Compound,Process-based,Assembly,b,Compound industry combines various raw materials to produce a new product like steel or fertilizer.
2025,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,"Stem: Ms. Rosaline brings milk powder from the Middle East, repacks it into smaller weight-based packets, and sells it in Myanmar. To attract buyers, she provides information regarding product quality. Q: Which auxiliary trade function does she perform?",Advertisement,Grading,Warehousing,Market Research,a,Advertisement removes information-based barriers by informing consumers about the product's features.
2025,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,"Stem: Ms. Rosaline brings milk powder from the Middle East, repacks it, and sells it in Myanmar. She also provides quality information to buyers. Q: Ms. Rosaline— (i. Is involved in Entrepot trade, ii. Creates place utility, iii. Performs standardization)",i & ii,i & iii,ii & iii,"i, ii & iii",a,"She imports to export (Entrepot) and moves goods (Place utility). Standardization is setting the criteria, not the act of packaging."
2025,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,Collecting resources from water or air belongs to which type of industry?,Genetic,Extractive,Construction,Analytical,b,"Extractive industry involves collecting resources from natural sources like earth, water, or air."
2025,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,Chemical fertilizer belongs to which industry?,Compound,Analytical,Assembly,Processing,a,It is a compound industry because it combines several chemical elements to form the final fertilizer.
2025,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,"Standardization is: (i. Setting product standards, ii. A theoretical task, iii. Dividing by size). Which is correct?",i & ii,i & iii,ii & iii,"i, ii & iii",a,"Standardization is a theoretical task of setting quality benchmarks; dividing by size is the physical act of ""Grading."""
2023,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Where is the headquarters of WTO located?,New York,Rome,London,Geneva,d,"The World Trade Organization (WTO) is headquartered in Geneva, Switzerland."
2023,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,What is the process of delivering industrial products to consumers called?,Industry,Commerce,Transportation,Marketing,b,Commerce is the branch of business that deals with the distribution of goods from producers to consumers.
2023,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,What is an industry that joins parts from other industries to make a new product called?,Assembly,Process-based,Compound,Construction,a,"Assembly industry puts together manufactured parts to create a final unit (e.g., cars, TVs)."
2023,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,What type of barrier does Commerce (Trade) remove?,Exchange-based,Information-based,Insurance,Place-based,a,Trade (buying and selling) removes the hindrance of persons or exchange between producers and consumers.
2023,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,"Stem: Bengal Apparels earns foreign currency by exporting products to Europe. Simultaneously, the company imports necessary garment machinery. Q: Bengal Apparels is involved in: (i. Import, ii. Export, iii. Entrepot)",i & ii,i & iii,ii & iii,"i, ii & iii",a,They import machinery for use and export products; there is no mention of re-exporting the same goods (Entrepot).
2023,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,What type of hindrance does advertising remove in business?,Place-based,Information-based,Form-based,Time-based,b,"Advertising informs potential customers about products, thus removing the barrier of information/knowledge."
2023,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,In which year was the concept of Social Business introduced?,1995,2004,2005,2007,d,Dr. Muhammad Yunus officially introduced the formalized concept of Social Business in 2007.
2023,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Stem: Hasib and Navid, two friends, imported cosmetics from Thailand and sold them in Bangladesh. They inform consumers about the product's quality using various methods. Q: Which auxiliary trade function is mentioned?",Warehousing,Standardization,Packaging,Advertisement,d,Informing consumers about product quality and features through various methods is Advertisement.
2023,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Stem: Hasib and Navid, two friends, imported cosmetics from Thailand and sold them in Bangladesh. Q: Their business is- (i. General Partnership, ii. Involved in Commerce, iii. Creates form utility)",i & ii,i & iii,ii & iii,"i, ii & iii",a,"Since they are two friends, it's a partnership; as they buy/sell, it's commerce. They don't manufacture, so no form utility."
2023,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,What type of barrier does the transportation system remove in commerce?,Time-based,Financial,Place-based,Risk-based,c,"Transportation facilitates the movement of goods from production centers to consumption points, removing spatial barriers."
2023,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,Which of the following is included in the Primary Industry?,Analytical,Assembly,Compound,Agriculture,d,"Primary industries involve activities directly related to natural resources, such as Agriculture or Forestry."
2023,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,To which industry does the Metro Rail (construction/service) belong?,Compound,Service,Construction,Assembly,c,"The building of infrastructure like bridges, roads, and Metro Rail tracks falls under the Construction industry."
2023,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"Which are included in the scope of Commerce? (i. Wholesale Trade, ii. Retail Trade, iii. Warehousing)",i & ii,i & iii,ii & iii,"i, ii & iii",d,"Commerce encompasses both Trade (Wholesale/Retail) and Aids to Trade (Warehousing, Transport, etc.)."
2023,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,What type of hindrance does advertising remove?,Ownership,Knowledge/Info,Time-based,Personal,b,"Advertising informs the public about product availability and benefits, removing knowledge-based barriers."
2023,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,Delivering newspapers to doorsteps belongs to which type of industry?,Construction,Production,Assembly,Service Provider,d,"Activities that provide comfort or facilitate a task for a fee, like distribution, are Service Providing industries."
2023,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,Which of the following is NOT an auxiliary (Aids to Trade) function of business?,Export,Insurance,Banking,Transportation,a,"Export is a part of Trade itself, whereas Insurance, Banking, and Transport are services that assist Trade."
2023,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,"Sajjad from Barisal cares for hog-plum (Amra) trees. Once harvested, he sorts them by size and supplies them to Dhaka. What task is Sajjad performing by sorting them?",Standardization,Grading,Transportation,Warehousing,b,The physical act of dividing products into different categories based on their size or quality is called Grading.
2023,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,"Stem: Sajjad from Barisal cares for hog-plum trees, sorts them by size, and supplies to Dhaka. Why do Dhaka's buyers wait for him? (i. Good quality, ii. Less wastage, iii. High market demand)",i & ii,i & iii,ii & iii,"i, ii & iii",d,"Grading and proper sorting ensure consistent quality, reduce damage, and meet consumer expectations."
2023,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,What type of barrier does buying and selling (Trade) remove?,Ownership,Form-based,Place-based,Time-based,a,"Buying and selling facilitate the transfer of legal title, thus removing the ownership/possession barrier."
2023,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,Soap manufacturing belongs to which category of industry?,Analytical-Compound,Compound,Assembly,Process-based,b,"Soap is a compound industry because it combines different raw materials (fats, alkalis) to create a single product."
2023,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,Extracting crabs from a river is which type of industry?,Compound,Genetic,Extractive,Processing,c,Collecting or gathering resources directly from nature (like rivers or forests) is an Extractive Industry.
2023,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,Which of the following is a Direct Service?,Engineering,Advertisement,Fish Cultivation,Banking,a,"Professional services like legal, medical, or engineering advice given directly for a fee are Direct Services."
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,"Setting the limits for correct standards of product weight, size, color, etc., is which type of task?",Packaging,Grading,Marketing Promotion,Standardization,d,Standardization is the process of establishing specific benchmarks or quality limits for a product.
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,To which industry does Telephone (service) belong?,Processing,Service Provider,Assembly,Analytical,b,"Telecommunication services provide essential utility and connectivity, making it a Service Providing industry."
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,What does Industry create?,Utility,Responsibility,Labor Union,Ownership,a,"Industry primarily creates ""Form Utility"" by converting raw materials into usable finished products."
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,"Mr. Amjad of Dhaka brings goods from China, packages them, and sells them to Europe. What is this called?",Purchase,Entrepot,Import,Export,b,Importing goods from one country to export them to another after minor processing/packaging is Entrepot.
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,"What is the purpose of warehousing products? (i. Meet demand at specific times, ii. Preserve consumer demand, iii. Supply products year-round)",i & ii,i & iii,ii & iii,"i, ii & iii",d,Warehousing preserves products and ensures they are available for consumers regardless of the season.
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,Mr. Shahid leases fertile land in Panchagarh to grow tea and sorts them by quality for sale. What is the sorting process called?,Buy-Sell,Production,Grading,Standardization,c,Sorting the tea leaves according to their quality/grade after the standards are set is called Grading.
2023,Business Org & Mgmt 1st,Chapter 1,Sylhet Board,Board,Stem: Mr. Shahid grows tea on leased fertile land in Panchagarh. Which environmental factor encouraged him?,Natural,Economic,Political,Social,a,Fertile land and suitable climate are components of the Natural Environment that facilitate agriculture.
2023,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,Which of the following is an auxiliary function (Aids to Trade) of commerce?,Import,Export,Transportation,Wholesale,c,Transportation is an auxiliary service that assists trade by removing spatial barriers.
2023,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,Which party exerts a direct influence (Internal Environment) on a business?,Owners,Suppliers,Producers,Intermediaries,a,Owners/Shareholders are internal stakeholders who directly control and influence business decisions.
2023,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,"What are the objectives of Social Business? (i. Profit maximization, ii. Poverty alleviation, iii. Tackling social problems)",i & ii,i & iii,ii & iii,"i, ii & iii",c,Social Business specifically rejects profit maximization in favor of solving social and economic issues.
2023,Business Org & Mgmt 1st,Chapter 1,Barisal Board,Board,What is a unique/distinctive characteristic of business?,It is an economic activity,It involves recurrence of transactions,It must be legally valid,It is conducted for profit,b,"While others are general, the ""recurrence of transactions"" (পণ্য বা সেবার পৌনঃপুনিকতা) is a core distinctive trait."
2023,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,Which is the primary/foundational task of business?,Distribution,Production,Providing Service,Product Supply,b,"Production is the first step that creates form utility, making it the primary task of business."
2023,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,Which is an example of Direct Service?,Charitable Institution,Legal Profession,Textile Industry,Medicine Business,b,"Professional services provided by lawyers, doctors, or auditors for a fee are called Direct Services."
2023,Business Org & Mgmt 1st,Chapter 1,Dinajpur Board,Board,Stem: Jubayer took a loan and started a nursery. Now he also has a poultry farm. Q: Which industry does Jubayer's business belong to?,Genetic,Assembly,Construction,Natural,a,"Nurseries and poultry farms involve the reproduction of plants/animals, making them part of the Genetic Industry."
2023,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,From which language is the word 'Business' derived?,English,Persian,Italian,French,a,Business' is derived from the English word 'Busy'.
2023,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,Which of the following belongs to the Assembly Industry?,Ship,Cement,Soap,Petrol,a,"Shipbuilding involves assembling various components (engine, steel plates) to create one unit."
2023,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,Stem: Mr. Ripon released fish fry in his pond and earns profit by selling grown fish. Q: Which industry is this related to?,Construction,Genetic,Agriculture,Manufacturing,b,Breeding and raising fish from fry is a classic activity of the Genetic Industry.
2023,Business Org & Mgmt 1st,Chapter 1,Mymensingh Board,Board,"Stem: Mr. Ripon breeds fish in his pond. Q: This activity encourages: (i. Fish cultivation, ii. Self-employment, iii. Habit of saving)",i & ii,i & iii,ii & iii,"i, ii & iii",a,Engaging in one's own business primarily promotes cultivation and self-employment (ii).
2022,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Which of the following is an auxiliary function of product exchange?,Warehousing,Retail Trade,Production,Entrepot,a,Warehousing assists exchange by removing time-related barriers. Retail and Entrepot are types of Trade itself.
2022,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,"For the purpose of earning profit, business is defined as the:","Sum of production, distribution & aids",Sum of exchange & aids,Sum of exchange & distribution,Sum of risk & uncertainty,a,"Business is the total sum of all economic activities involving production, distribution, and auxiliary services."
2022,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Stem: Mr. Rifat buys mangoes and divides them according to size before selling. Q: What is this task called?,Grading,Packaging,Standardization,Warehousing,a,Sorting or dividing products based on pre-set standards (like size) is known as Grading (পর্যায়িতকরণ).
2022,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Which one removes the risk-related barrier in commerce?,Banking,Insurance,Transportation,Marketing Promotion,b,Insurance removes the hindrance of risk by providing financial protection against losses.
2022,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,What is the main fundamental task of business?,Buy-Sell,Financing,Production,Risk-taking,c,"Without production, there is no value addition or goods to sell, making it the fundamental task."
2022,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,Which one removes the risk-related barrier in commerce?,Insurance,Advertisement,Banking,Warehousing,a,Insurance provides a mechanism to mitigate the risk of loss in business.
2022,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Stem: Abir buys goods from Narayanganj and sells in local markets. This removes: (i. Ownership barrier, ii. Time barrier, iii. Place barrier)",i & ii,i & iii,ii & iii,"i, ii & iii",b,"Buying/selling removes the ownership barrier (i), and moving them to local markets removes the spatial barrier (iii)."
2022,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,Which of the following is NOT included in the Primary Industry?,Genetic,Assembly,Agriculture,Extractive,b,Assembly is a Manufacturing Industry; the others are Primary Industries as they deal with natural resources.
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"Stem: Ms. Anika buys cosmetics from Singapore, repacks them under her brand, and sells in India. Q: What type of trade is this?",Export,Import,Entrepot,Entrap,c,Importing from one country (Singapore) to sell to another (India) after packaging is called Entrepot (পুনঃরপ্তানি).
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,Which of the following is excluded from Commerce?,Road Construction,Product Transport,Insurance,Warehousing,a,"Road construction is part of the Construction Industry, while others are auxiliary services of Commerce."
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,What is the Bengali meaning of the English word 'Career'?,Being Busy,Acquiring Qualification,Means of Livelihood,Professional Life,d,Career' refers to the progress and actions taken by a person throughout their professional life or lifelong journey of work.
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"Who among the following provide Direct Services? (i. Doctor, ii. Intellectual, iii. Lawyer)",i & ii,ii & iii,i & iii,"i, ii & iii",c,"Doctors and Lawyers provide specialized professional services for a fee. 'Intellectual' is a broad status, not necessarily a professional service."
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,Stem: Sabuj started a garment shop with 10 lakh. His friend Mihir sold his used second-hand motorbike for a 30k profit. Q: Mihir's act can be called:,Business,Investment,Commerce,None of these,d,"Selling a personal item once for profit is not a business, as it lacks the ""recurrence of transactions."""
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,"Stem: Sabuj invested 10 lakh and hired employees for a shop. Q: To earn 2 lakh profit, Sabuj: (i. Took risks, ii. Performed buy-sell, iii. Induced with false info)",i & ii,ii & iii,i & iii,"i, ii & iii",a,"Business involves risk and exchange; providing false information is an unethical/illegal act, not a core function."
2022,Business Org & Mgmt 1st,Chapter 1,Jessore Board,Board,To which industry does 'Banglalink' belong?,Manufacturing,Assembly,Process-based,Service Provider,d,"Telecommunication companies provide connectivity and utility, classifying them as Service Providing industries."
2022,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,What does industry create?,Labor Union,Ownership,Utility,Responsibility,c,Industry creates form utility by transforming raw materials into finished goods.
2022,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,"Stem: Mr. Monir buys mangoes, stores them in cold storage, and sorts them by size for retailers. Q: What utility does he create by storing them?",Place-based,Risk-based,Time-based,Form-based,c,Storing goods in a cold storage (Warehousing) creates time utility by making seasonal products available year-round.
2022,Business Org & Mgmt 1st,Chapter 1,Comilla Board,Board,Stem: Mr. Monir buys mangoes and sorts them by size before selling. Q: Which task did he perform?,Grading,Standardization,Packaging,Accounting,a,The physical process of classifying products into various categories based on size or quality is Grading.
2022,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,Which of the following is the primary/foundational task of business?,Production,Advertisement,Analysis,Process-based,a,Production is the core economic activity that initiates the business cycle by creating products.
2022,Business Org & Mgmt 1st,Chapter 1,Chittagong Board,Board,To which type of manufacturing industry does 'Cement' belong?,Distribution,Transportation,Compound,Assembly,c,"Cement is a compound industry because it combines limestone, clay, and other materials into one product."
