Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2018,Agriculture 2nd Paper,1,Combined,Board,"Read the following stem and answer the question:

Robi, an unemployed youth, cultured fish in a pond. Despite providing plenty of supplementary feed, he was not getting a good yield. Later, on the advice of a fisheries officer, he applied organic and chemical fertilizers and became successful.


Q. What will happen as a result of applying fertilizer to Robi's pond?",Nutrients will become easily available,Plankton will become easily available,Oxygen will become easily available,Water acidity will increase,b,"Applying fertilizers supplies critical nitrogen and phosphorus to water, stimulating the rapid growth of microscopic natural foods, known collectively as phytoplankton and zooplankton."
2018,Agriculture 2nd Paper,1,Combined,Board,"Read the following stem and answer the question:

Robi, an unemployed youth, cultured fish in a pond. Despite providing plenty of supplementary feed, he was not getting a good yield. Later, on the advice of a fisheries officer, he applied organic and chemical fertilizers and became successful.


Q. The reason for Robi's success is—


i. Availability of natural food

ii. Physical growth of fish

iii. Increase in total production


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Fertilizers produce abundant natural plankton food. This balanced nutrition accelerates the growth rate of the fish, leading directly to a higher final harvest weight and financial success."
2018,Agriculture 2nd Paper,1,Combined,Board,How many safe methods are there for fish preservation?,2,3,4,d,5,b
2017,Agriculture 2nd Paper,1,Combined,Board,Which of the following is a predatory (Rakhuse) fish?,Chital,Grass Carp,Mirror Carp,Sarputi,a,"Chital (Chitala chitala) is a highly carnivorous, nocturnal predatory fish that feeds actively on small fish and fry. Grass carp, Mirror carp, and Sarputi are peaceful omnivores or herbivores."
2024,Agriculture 2nd Paper,1,"RAJUK Uttara Model College, Dhaka",College,Which country is the native origin of Rajputi (Java Barb) fish?,Netherlands,Thailand,Greenland,Finland,b,"Rajputi (also known as Java Barb or Silver Barb) is naturally native to Southeast Asian countries, primarily Thailand, Indonesia, and Malaysia."
2024,Agriculture 2nd Paper,1,"RAJUK Uttara Model College, Dhaka",College,"Currently, export earnings from shrimp account for what percentage of the total national income (GDP)?",7.2 percent,7.4 percent,7.6 percent,7.8 percent,b,"According to the national agricultural records referenced in the textbook, the economic contribution of shrimp export earnings stands at approximately 7.4% of the agricultural GDP sector."
2024,Agriculture 2nd Paper,1,"RAJUK Uttara Model College, Dhaka",College,Fish autolysis occurs due to the influence of which of the following?,Bacterial action,Chemical action,Enzymatic action,Transportation errors,c,"Autolysis is the self-digestion process of fish tissues that occurs immediately after death, driven completely by the cellular enzymes naturally present within the fish's body."
2024,Agriculture 2nd Paper,1,"RAJUK Uttara Model College, Dhaka",College,"Read the following stem and answer the question:

Jamshed went to his pond in the morning and noticed that the fish were gasping for air at the surface (khabi khay). Taking advice from the fisheries officer, he stirred and agitated the pond water. This gradually resolved the problem to some extent.


Q. What is the reason for the fish gasping for air at the surface in Jamshed's pond?",Lack of oxygen,Lack of lime,Lack of food,Lack of fertilizer,a,"When dissolved oxygen (DO) levels deplete in the pond water overnight, fish rise to the surface early in the morning to gulp atmospheric air, which is known as ""khabi khaoya""."
2024,Agriculture 2nd Paper,1,"RAJUK Uttara Model College, Dhaka",College,"Read the following stem and answer the question:

Jamshed went to his pond in the morning and noticed that the fish were gasping for air at the surface (khabi khay). Taking advice from the fisheries officer, he stirred and agitated the pond water. This gradually resolved the problem to some extent.


Q. To quickly stop fish from gasping for air at the surface, the steps to be taken are—


i. Beating the water with bamboo poles

ii. Swimming in the pond

iii. Pulling a net through the pond


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Beating water with bamboo, swimming, and pulling a fishing net all physically agitate the surface layer of the pond water. This mechanical movement forces atmospheric oxygen to dissolve rapidly into the water."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,From which country was Rajputi fish introduced to Bangladesh?,Myanmar,China,Vietnam,Thailand,d,Rajputi fish (Barbonymus gonionotus) was successfully imported and introduced to Bangladesh from Thailand in 1977 to meet the demand for fast-growing freshwater species.
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,Which one is the favorite food of Rajputi fish?,Algae,Zooplankton,Macrophytes,Duckweed (Khudipana),d,"Rajputi fish is highly herbivorous and displays a strong preference for small aquatic macro-vegetation, especially duckweed (Khudipana/Lemna), which serves as an excellent low-cost supplementary feed."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,Which of the following is NOT a predatory (Rakhuse) fish?,Taki,Bighead Carp,Chital,Shol,b,"Taki, Chital, and Shol are carnivorous predatory fish that possess sharp teeth and feed on other fish. Bighead Carp is a peaceful, non-predatory exotic carp that feeds strictly on zooplankton."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,What should be the ratio of fish to salt in the dry salting preservation method?,1:1,2:1,3:1,4:1,d,"For standard commercial fish preservation via salting, a 4:1 ratio (4 parts fish to 1 part salt, or roughly 25% salt by weight of the fish) is recommended to efficiently extract moisture and retard spoilage."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,"Read the passage below and answer the following question:

One morning, a fish farmer named Md. Abdul Salam noticed that some of the fish in his pond were swimming erratically at high speeds and rubbing their bodies against hard objects. Seeing this, he immediately took measures based on the advice of a fisheries specialist.


Q. What is the cause of the fish swimming erratically at high speeds in the pond?",Dissolved oxygen deficiency in water,Lack of sunlight in the pond,Argulus (Fish lice) infestation,Food shortage in the pond,c,"Erratic, fast swimming and rubbing against hard pond structures indicate an ectoparasitic infestation, specifically by Argulus (fish lice), which causes severe irritation on the skin of the fish."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,"Read the passage below and answer the following question:

One morning, a fish farmer named Md. Abdul Salam noticed that some of the fish in his pond were swimming erratically at high speeds and rubbing their bodies against hard objects. Seeing this, he immediately took measures based on the advice of a fisheries specialist.


Q. To solve the mentioned problem, the fisheries specialist would advise—


i. Applying Dipterex

ii. Applying lime

iii. Bathing the fish in a Potassium Permanganate solution


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",b,"To eliminate Argulus (fish lice) ectoparasites, treating the pond water with Dipterex insecticide is standard practice. Affected fish can also be given a therapeutic short bath in a Potassium Permanganate solution. Lime alone does not target parasites."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,"Nilotica fish—


i. Is an omnivorous organism

ii. Looks like Koi fish during its juvenile stage

iii. Does not lay eggs in ponds


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",a,"Nilotica (Tilapia) is an omnivorous feeder. In its young juvenile stages, its body shape, coloration, and stripes heavily mimic the local Koi fish. However, statement iii is false because they reproduce easily and lay eggs directly in shallow pond nests."
2024,Agriculture 2nd Paper,1,Dhaka Residential Model College,College,"If there are weeds in a pond—


i. It helps in fish culture

ii. It creates obstacles for fish movement

iii. It causes a deficiency of dissolved nutrients in water


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",c,"Excessive aquatic weeds block light penetration, restrict the physical movement of cultured fish, obstruct harvesting nets, and consume valuable dissolved nitrogen and phosphorus nutrients that should ideally feed natural plankton."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,Which pathogen is responsible for the tail and fin rot disease of Rajputi fish?,Fungus,Bacteria,Virus,Parasite,b,"Tail and fin rot disease (লেজ ও পাখনা পচা রোগ) is predominantly a bacterial infection caused by Aeromonas and Pseudomonas bacteria, characterized by tissue erosion and whitening of fin margins."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,"The methods to test natural food (plankton) density in a pond are—


i. By observing the color of the pond water

ii. Testing with a Secchi disk

iii. Testing by submerging one's hand into the pond


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Natural food density can be assessed field-style: greenish water indicates rich plankton; a Secchi disk reading between 20-30 cm is ideal; and if your forearm disappears from sight when submerged up to the elbow, plankton density is optimal."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,"Read the following stem and answer the question:

One morning, Arafat Onik suddenly noticed that the fish in his pond were moving in an unbalanced, disoriented manner. Some of the fish were rubbing their bodies against any hard objects they found in the pond.


Q. Which disease have the fish in Arafat Onik's pond contracted?",Tail and fin rot,Gill rot,Dropsy,Fish Lice (Ukun),d,"Disoriented, irritated swimming patterns coupled with a distinct rubbing behavior against hard pond banks or bamboo poles are textbook indicators of a Fish Lice (Argulus/Ukun) infestation on the host's body."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,"Read the following stem and answer the question:

One morning, Arafat Onik suddenly noticed that the fish in his pond were moving in an unbalanced, disoriented manner. Some of the fish were rubbing their bodies against any hard objects they found in the pond.


Q. To solve his fish problem, Arafat Onik can take the following measures—


i. He can apply lime

ii. He can apply cow dung

iii. He can apply Dipterex medicine


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",b,"To treat a fish lice outbreak, applying Dipterex kills the free-swimming parasites. Applying lime helps disinfect and stabilize water quality. Adding organic cow dung is strictly prohibited here, as it degrades water quality and fuels biological pathogens."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,How is the rostrum of a Golda Chingri (Giant River Prawn) shaped?,Large and curved,Small and curved,Large and straight,Small and straight,a,"The rostrum (the prominent anterior projection of the carapace between the eyes) of Golda prawn (Macrobrachium rosenbergii) is distinctly long, robust, and curves upward with dorsal and ventral teeth."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,Which region of Bangladesh holds the highest potential for integrated shrimp/prawn cultivation along with rice farming?,Chandpur,Jessore,Rajshahi,Satkhira,d,"Satkhira (along with Khulna and Bagerhat) is situated in the coastal southwestern zone of Bangladesh, making its low-lying landscape and tidal dynamics exceptionally suited for integrated rice-shrimp (Gher) farming systems."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,"Omnivorous fish include—


i. Rajputi

ii. Nilotica

iii. Golda prawn


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Rajputi, Nilotica (Tilapia), and Golda prawns are all biologically classified as omnivores (সর্বভুক) because their diet regularly incorporates both plant matter (algae, macrophytes) and animal matter (small insects, detritus)."
2024,Agriculture 2nd Paper,1,"Adamjee Cantonment College, Dhaka",College,From which country was Nilotica fish first brought to Bangladesh?,India,Netherlands,Thailand,Myanmar,c,Nilotica (Oreochromis niloticus) was introduced to Bangladesh for the first time in 1974 from Thailand under official institutional aquaculture research initiatives.
2024,Agriculture 2nd Paper,1,Rangpur Cantonment Public School & College,College,Which of the following is a Phytoplankton?,Khudipana,Bosmina,Daphnia,Anabaena,d,"Phytoplankton refers to microscopic, photosynthetic aquatic organisms. Anabaena is a genus of filamentous cyanobacteria (blue-green algae) falling under phytoplankton. Daphnia and Bosmina are zooplankton, and Khudipana is a macrophyte."
2024,Agriculture 2nd Paper,1,Rangpur Cantonment Public School & College,College,What is the hard shell covering the cephalothorax (head-breast region) of a shrimp/prawn called?,Rostrum,Telson,Carapace,Squama,c,The carapace (ক্যারাপেস) is the tough chitinous exoskeleton shield that covers and protects the fused head and thorax region (cephalothorax) of crustaceans like shrimp and prawns.
2024,Agriculture 2nd Paper,1,Rangpur Cantonment Public School & College,College,For what purpose is Rotenone powder applied to an aquaculture pond?,Aquatic weed control,Eradication of predatory fish,Generating natural food,Acidity elimination,b,Rotenone is an organic piscicide extracted from plant roots used during the pond dry-up preparation phase to kill and clear out predatory and unwanted wildcard weed fish.
2025,Agriculture 2nd Paper,2,Combined,Board,Which one is a high-quality broiler breed?,Star Bro,Star Cross,Isa Brown,Lohmann,a,Star Bro is a globally recognized commercial hybrid broiler strain optimized specifically for rapid meat production. Isa Brown and Lohmann are premier commercial layer strains bred exclusively for high egg yields.
2025,Agriculture 2nd Paper,2,Combined,Board,"The objectives of a broiler farm plan are—


i. Increasing the supply of meat

ii. Earning cash income

iii. Creating self-employment


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Broiler farming efficiently meets the animal protein demand of the country by escalating poultry meat supply. Simultaneously, it acts as a highly lucrative commercial venture providing steady cash returns and self-employment opportunities."
2025,Agriculture 2nd Paper,2,Combined,Board,"Read the following stem and answer the question:

Saleha saw a picture of a specific duck breed. The duck was large in physical shape and size, and its neck was comparatively long and held high.


Q. Which type of duck breed did Saleha see in the picture?",Native Duck (Patihans),Swan / Goose (Rajhans),Jinding,Peking,b,"Swans/Geese (Rajhans) are structurally distinct from common domestic ducks due to their considerably heavier, larger body mass, an elongated neck, and an erect, stately posture."
2025,Agriculture 2nd Paper,2,Combined,Board,"Read the following stem and answer the question:

Saleha saw a picture of a specific duck breed. The duck was large in physical shape and size, and its neck was comparatively long and held high.


Q. The characteristics of this domestic bird are—


i. It lays 16-20 eggs per year

ii. They love to stay in water

iii. They are fast-growing


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Geese (Rajhans) exhibit low annual fecundity, laying a limited clutch of 16 to 20 eggs. Being waterfowl, they possess a natural affinity for aquatic bodies, and their offspring exhibit excellent feed conversion ratios resulting in rapid weight gain."
2025,Agriculture 2nd Paper,2,Combined,Board,What is the specialized house used for providing artificial warmth to newly hatched chicks called?,Chicken House,Brooder House,Light House,Breeder House,b,"Newly hatched chicks cannot regulate their internal body temperature. They are kept in a highly managed environment called a brooder house, where artificial heating setups (brooders) maintain ideal localized temperatures."
2023,Agriculture 2nd Paper,2,Dhaka,Board,What is the name of the modern apparatus used for hatching eggs artificially?,Brooder,Candler,Incubator,Lactometer,c,"An incubator is an advanced electro-mechanical device that simulates maternal brooding by precisely regulating ambient temperature, humidity, and ventilation parameters required for embryological development and egg hatching."
2023,Agriculture 2nd Paper,2,Dhaka,Board,Which of the following is a specific chicken (poultry) breed?,Rouen,Jinding,Aseel,Peking,c,"Aseel is a legendary indigenous gamefowl breed native to the Indian subcontinent, famous for its muscular physique and aggressive fighting nature. Rouen, Jinding, and Peking are biologically classified as duck breeds."
2023,Agriculture 2nd Paper,2,Dhaka,Board,"The reasons behind poultry eggs becoming infertile (unfertilized) are—


i. Incorrect rooster-to-hen mating ratio

ii. Advanced age of the roosters and hens

iii. Deficiency of vitamins and minerals in poultry feed


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Successful fertilization depends on an optimal male-to-female mating ratio (e.g., 1:10). Advanced age reduces libido and sperm/ovum viability. Nutritional deficiencies in minerals and vitamins (like Vitamin E) directly impair the reproductive tracts of poultry."
2023,Agriculture 2nd Paper,2,Dhaka,Board,Which of the following is an excellent egg-producing (layer) duck breed?,Peking,Muscovy,Rouen,Khaki Campbell,d,"The Khaki Campbell duck is an elite utility breed renowned for its phenomenal egg-laying capacities, frequently producing up to 250 to 300 eggs per year under standard farm management. Peking, Muscovy, and Rouen are raised mainly for meat."
2019,Agriculture 2nd Paper,2,Dhaka,Board,Which country is the native origin/habitat of the commercial Quail bird?,Japan,Germany,Korea,Myanmar,a,"While wild variants exist globally, the highly domesticated, commercially reared strain of quail cultivated for meat and egg production worldwide was systematically perfected in Japan, giving it the common name Japanese Quail."
2018,Agriculture 2nd Paper,2,Combined,Board,"Read the following stem and answer the question:

One day in the month of January, Riku noticed in his poultry farm that some chickens were discharging excessive saliva from their mouths and passing white, chalky, lime-like feces.


Q. Which disease have the chickens in Riku's farm contracted?",Ranikhet (Newcastle Disease),Coccidiosis,Fowl Cholera,Bird Flu,a,"The production of thick, viscous saliva from the beak, gasping for air, and characteristic watery, chalky white or greenish-white diarrhea are textbook diagnostic symptoms of Ranikhet (Newcastle) virus disease in poultry."
2018,Agriculture 2nd Paper,2,Combined,Board,"Read the following stem and answer the question:

One day in the month of January, Riku noticed in his poultry farm that some chickens were discharging excessive saliva from their mouths and passing white, chalky, lime-like feces.


Q. The preventive and management steps to be taken by Riku against this disease are—


i. Vaccinating the poultry birds at the right time

ii. Spraying disinfectants throughout the farm premises

iii. Feeding Terramycin capsules to the birds


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",a,"Ranikhet is a highly contagious, fatal viral disease. The only effective defenses are timely preventative vaccinations and strict farm biosecurity using disinfectant sprays. Viral infections do not respond to Terramycin, which is an antibiotic for bacterial diseases."
2018,Agriculture 2nd Paper,2,Combined,Board,Which duck breed is the most popular worldwide for commercial meat production?,Khaki Campbell,Indian Runner,Muscovy,Pekin,d,"The Pekin duck is the premier commercial meat-producing duck breed globally, valued for its rapid growth rate, high feed efficiency, and excellent quality carcass meat."
2018,Agriculture 2nd Paper,2,Combined,Board,Which problem stands out as the primary or most critical challenge in the poultry industry of Bangladesh?,Lack of improved breeds,Ignorance of farmers,Lack of balanced feed,High production cost,c,"While multiple constraints exist, poultry feed accounts for nearly 65% to 70% of total operational costs. The acute shortage and price volatility of high-quality raw feed ingredients make the lack of affordable balanced feed the biggest structural obstacle."
2017,Agriculture 2nd Paper,2,Combined,Board,In which year did Mrs. Campbell successfully develop the Khaki Campbell duck breed?,1801,1901,1971,2001,b,"Mrs. Adele Campbell of England successfully developed and introduced the famous utility Khaki Campbell duck breed to the public in the year 1901 by systematically crossing Fawn and White Indian Runners, Rouens, and Wild Mallards."
2017,Agriculture 2nd Paper,2,Combined,Board,"The native geographical origins/places of the Aseel breed of chicken are—


i. England

ii. India

iii. Bangladesh


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",c,"The Aseel is an ancient, elite breed indigenous to the Indian subcontinent, with its historical distribution tracing natively through parts of modern-day India and Bangladesh (specifically the Chittagong region)."
