Subject,Chapter,Type,Category,q_text,opt_a,opt_b,opt_c,opt_d,Answer,Explanation,HTML_Code
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2025,board,"If a computer is purchased for the purpose of ""Resale,"" which account is debited?",Computer,Office Equipment,Purchase,Machinery,c,"If bought for resale, it is treated as ""Goods,"" so the Purchase Account is debited.",
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2025,board,"Which language does the word ""Ledger"" originate from?",English,French,Latin,Spanish,a,The word Ledger is derived from the English word 'Legger' (to lie/remain).,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2025,board,What does a Credit Balance usually indicate?,Income and Liability,Asset and Expense,Income and Expense,Asset and Liability,a,"In modern accounting, Income, Liability, and Equity have Credit balances.",
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,"Sonal Trading buys 12,000 TK goods at 10% discount. Paid on time with a 5% cash discount. Discount amount?",540,600,"1,200 TK","1,800 TK",a,"Net: 10,800 TK. Cash Discount: 10,800 TK x 5% = 540.",
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,What type of discount is offered at the time of final debt settlement?,Cash Discount,Trade Discount,Quantity Discount,Purchase Discount,a,Cash discounts are used specifically to encourage early or final settlement of debt.,
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,Another name for Trade Discount is: i. Purchase Discount; ii. Allowed Discount; iii. Sales Discount.,i and ii,i and iii,ii and iii,"i, ii and iii",b,Trade discount is categorized as Purchase Discount for the buyer and Sales Discount for the seller.,
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,Which of these transactions is recorded in a Cash Book?,Withdrawal of goods,Free sample distribution,Depreciation,Capital introduced,d,Only cash or bank movements (like bringing in Capital) enter the Cash Book.,
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,"The owner withdraws goods for personal use at ""Sales Price."" What is the Journal?","Drawings Debit, Purchase Credit","Drawings Debit, Sales Credit","Sales Debit, Drawings Credit","Purchase Debit, Drawings Credit",b,"When goods are taken at sales price, it is treated as a sale to the owner.",
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,Which step is used to verify the arithmetical accuracy of the Ledger?,Journal,Ledger,Trial Balance,Financial Statement,c,The Trial Balance summarizes all balances to check if Debits equal Credits.,
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2025,board,"Which transaction requires a ""Contra (C)"" entry?",Personal bank withdrawal,Business bank withdrawal,Check received from customer,Payment by check,b,Withdrawing from Bank for Office/Business use involves both Cash and Bank.,
Accounting 1st,Chapter 2 : Books of Accounts,Dhaka Board - 2025,board,"Bought goods for 40,000 TK at 25% trade discount. Terms: 4/10, n/30. Paid within 10 days?","27,000 TK","28,800 TK","30,000 TK","36,000 TK",b,"Net: 30,000 TK. Cash discount: 30,000 TK x 4% = 1,200 TK. Paid: 30,000 TK - 1,200 TK = 28,800 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Dhaka Board - 2025,board,"(Based on previous) If payment is made after 20 days, how much is paid?","27,000 TK","30,000 TK","36,000 TK","38,400 TK",b,"The 4% discount is only valid for 10 days. After that, the full net price (30,000 TK) is paid.",
Accounting 1st,Chapter 2 : Books of Accounts,Dhaka Board - 2025,board,"Furniture purchased for 69,000 TK including 15% VAT. Transport cost 1,000 TK. Total Cost?","60,000 TK","61,000 TK","69,000 TK","70,000 TK",b,"Net Furniture: 60,000 TK (after removing VAT). Total Cost = 60,000 TK + 1,000 TK transport = 61,000 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Dhaka Board - 2025,board,"Which is considered the ""Permanent or Final"" book of accounts?",Journal,Ledger,Trial Balance,Financial Statement,b,The Ledger is the ultimate and permanent record of all transactions.,
Accounting 1st,Chapter 2 : Books of Accounts,Cumilla Board - 2025,board,Which of the following is an Internal Transaction?,Sales,Purchase,Depreciation,Rent paid,c,Depreciation happens within the business without an outside party.,
Accounting 1st,Chapter 2 : Books of Accounts,Cumilla Board - 2025,board,What is the main objective of preparing a Trial Balance?,Determining Profit/Loss,Checking arithmetical accuracy,Preparing Balance Sheet,Identifying transactions,b,Trial Balance is prepared specifically to check if Debit and Credit totals match.,
Accounting 1st,Chapter 2 : Books of Accounts,Cumilla Board - 2025,board,"Bought goods for 5,000 TK and paid by check. Which account is credited?",Cash,Bank,Purchase,Sales,b,"Since payment is made by check, the Bank account (Asset) decreases (Credit).",
Accounting 1st,Chapter 2 : Books of Accounts,Mymensingh Board - 2025,board,"Which book is known as the ""Subsidiary Book of original entry""?",Ledger,Journal,Trial Balance,Balance Sheet,b,Journal is the first place a transaction is recorded.,
Accounting 1st,Chapter 2 : Books of Accounts,Mymensingh Board - 2025,board,"Goods destroyed by fire 2,000 TK. Which account is credited?",Cash,Fire Loss,Purchase,Sales,c,"When goods are lost/destroyed, the Purchase account is reduced (Credit).",
Accounting 1st,Chapter 2 : Books of Accounts,Mymensingh Board - 2025,board,Asset 2-column Cash Book records which of the following?,"4,000 TK","5,000 TK","6,000 TK","1,000 TK",c,Asset double-column cash book has columns for both Cash and Bank.,
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,Which discount is NOT recorded in the books of accounts?,Expense,Liability,Asset,Income,c,Trade discount is deducted from the list price and never enters the ledger.,
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,Owner brings a personal car into the business. Which account is credited?,Car,Vehicle,Capital,Drawings,c,Anything the owner brings into the business increases Capital (Credit).,
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,What is the source document for Sales Returns?,Debit Note,Credit Note,Invoice,Voucher,b,Asset Credit Note is sent to the customer to acknowledge the return.,
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2024,board,Which of these is a Nominal Account?,Rent,Cash,Bank,Furniture,a,Nominal accounts represent Expenses (like Rent) or Incomes.,
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2024,board,What is the formula for Owner's Equity?,Asset + Liability,Asset - Liability,Liability - Asset,Asset x Liability,b,Assets minus Liabilities equals Owner's Equity (Capital).,
Accounting 1st,Chapter 2 : Books of Accounts,Dhaka Board - 2024,board,"Salary paid 5,000 TK but 1,000 TK is still due. Total Salary Expense?","4,000 TK","5,000 TK","6,000 TK","1,000 TK",c,"Under accrual basis: 5,000 TK (Paid) + 1,000 TK (Due) = 6,000 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Dhaka Board - 2024,board,Prepaid Insurance is what type of account?,Expense,Liability,Asset,Income,c,"Prepaid expenses provide future benefits, so they are Assets.",
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2024,board,"Cash sales 10,000 TK. Impact on Equation?","Asset increase, Equity increase","Asset increase, Liability increase","Asset decrease, Equity increase","Asset decrease, Liability decrease",a,Cash (Asset) increases and Revenue increases Equity.,
Accounting 1st,Chapter 2 : Books of Accounts,Chittagong Board - 2024,board,Which voucher is used for Credit Purchases?,Debit Voucher,Credit Voucher,Journal Voucher,Transfer Voucher,b,Credit Vouchers are used for recording all types of income and credit purchases.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,Asset Contra Entry is required for:,Cash sales,Bank deposit,Credit sale,Salary paid,b,Depositing cash into the bank involves two internal accounts (Cash/Bank).,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,"What is the ""Folio"" column in the Ledger used for?",Date,Page number of Journal,Amount,Account Name,b,L.F. (Ledger Folio) in the Journal refers to the Ledger page number.,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,Bad Debt is what kind of loss?,Capital Loss,Revenue Loss,Personal Loss,Unusual Loss,b,Bad debt is a regular business expense/loss (Revenue Loss).,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,"Purchased goods for 8,000 TK. Paid 3,000 TK cash, rest on credit. Creditor amount?","3,000 TK","5,000 TK","8,000 TK","11,000 TK",b,"Total 8,000 TK - 3,000 TK (Paid) = 5,000 TK (Due to Creditor).",
Accounting 1st,Chapter 2 : Books of Accounts,Jashore Board - 2024,board,"Asset business uses the Imprest System for Petty Cash. The start balance was 1,000 TK. 800 was spent. How much will be reimbursed?",200,800,"1,000 TK","1,800 TK",b,"Under the Imprest system, the exact amount spent (800) is reimbursed to reach the original limit.",
Accounting 1st,Chapter 2 : Books of Accounts,Jashore Board - 2024,board,Which special journal is used to record credit sales?,Cash Receipt,Sales Return,Cash Payment,Sales Journal,d,Credit sales of goods are recorded in the Sales Journal.,
Accounting 1st,Chapter 2 : Books of Accounts,Jashore Board - 2024,board,Which event is recorded in the General Journal?,Credit sale,Cash purchase,Credit purchase,Depreciation,d,Depreciation is an adjusting entry recorded in the General Journal.,
Accounting 1st,Chapter 2 : Books of Accounts,Mymensingh Board - 2024,board,"Opening Debtors 30k, Closing 50k. Credit sales 1.2L. How much cash was received from debtors?","1,00,000 TK","1,20,000 TK","1,40,000 TK","1,50,000 TK",a,"Cash = Opening + Credit Sales - Closing = 30,000 TK + 1,20,000 TK - 50,000 TK = 1,00,000 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Mymensingh Board - 2024,board,"Probal Traders sold goods worth 50,000 TK at 5% discount on credit. On July 10, half the amount was received at 2% discount. What is the impact of the discount? i. Profit dec 475; ii. Assets dec 475; iii. Equity dec 475.",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Net Receivable = 47,500 TK. Half is 23,750 TK. Cash Discount = 23,750 TK * 2% = 475. Since it's an expense, it reduces profit, assets (receivable), and equity.",
Accounting 1st,Chapter 2 : Books of Accounts,Mymensingh Board - 2024,board,(Based on previous) How much cash was received for that half payment?,"23,275 TK","23,750 TK","24,225 TK","24,500 TK",a,"Net half: 23,750 TK. Cash: 23,750 TK - (2%) 475 = 23,275 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,"What is called the ""Ultimate Destination"" of a transaction?",Journal,Ledger,Financial Statement,Trial Balance,b,The Ledger is the final destination for all accounting entries.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,Machine installation wages should be debited to which account?,Machine Account,Installation Account,Repair Account,Wages Account,a,Cost to make an asset usable (installation) is debited to the Asset (Machine) account.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,"Received 54,000 TK after a 10% discount. What is the discount amount?","4,900 TK","4,910 TK","5,400 TK","6,000 TK",d,"Discount = (54,000 TK / 90) * 10 = 6,000 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,"What does ""Debit"" signify?",Asset & Liability down,Asset up & Liability down,Asset & Liability up,Asset down & Liability up,b,Debit means an increase in Assets or a decrease in Liabilities/Equity.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,"Mr. Hasan spent 5,000 TK for advertising his furniture business. What is the journal entry? i. Furniture Account-Debit; ii. Advertising Expense Account-Debit; iii. Cash Account-Credit.",i and ii,i and iii,ii and iii,"i, ii and iii",c,Promoting a business is a revenue expense. The entry is Advertising Expense Debit. and Cash Credit. Furniture is not debited as it wasn't purchased for use.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2024,board,"What does ""1/10, net/45"" mean? i. 1% discount if paid within 10 days; ii. 1% discount if paid within 45 days; iii. Must Payable within 45 days.",i and ii,i and iii,ii and iii,"i, ii and iii",b,1/10 means a 1% discount is available within 10 days. Net/45 indicates the total credit period is 45 days.,
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2024,board,"Which is known as the ""Storehouse"" of transactions?",Journal,Ledger,Trial Balance,Cash Book,b,The Ledger stores all classified transaction data.,
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2024,board,Which cash book never has a Credit Balance?,Single Column,Double Column,Triple Column,Multi Column,a,Asset single column (cash only) book can never Payable more than it has.,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,"Bought 20,000 TK goods at 10% disc. Paid via check at 5% cash disc. Purchase Debit amount?","17,000 TK","17,100 TK","18,000 TK","20,000 TK",c,"Purchase is recorded at net trade price: 20,000 TK - 10% = 18,000 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,The Ledger is called: i. Primary book; ii. Permanent storehouse; iii. Final book.,i and ii,i and iii,ii and iii,"i, ii and iii",c,The Ledger is a permanent and final book of accounts. The Journal is the primary book.,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,Which discount is deducted from the list price during purchase/sale?,Trade Discount,Cash Discount,Allowed,Received,a,Trade discount is deducted from the catalog/list price at the time of the deal.,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,"Received 2,700 TK from Abir at 10% discount. Discount amount?",27,270,300,2430,c,"Discount = (2,700 TK / 90) * 10 = 300.",
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,Which of the following are Contra Entries? i. Personal withdrawal from bank; ii. Deposit into bank; iii. Bank withdrawal for office use.,i and ii,i and iii,ii and iii,"i, ii and iii",c,Contra entries involve both Cash and Bank accounts within the business. Personal withdrawals are treated as Drawings.,
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2024,board,Bought 20k goods (10% disc). Paid via check (5% cash disc). Bank account Credit amount?,"17,000 TK","17,100 TK","18,000 TK","19,000 TK",b,"Net 18,000 TK - (5% cash disc) 900 = 17,100 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,In which step of the Accounting Cycle is a transaction identified?,1st,2nd,3rd,4th,a,Identification of a transaction is the very first step of the cycle.,
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,"If furniture is purchased for ""Resale,"" which account is debited?",Furniture,Supplies,Fixed Asset,Purchase,d,"Items bought for resale are considered ""Goods,"" so they are debited to the Purchase account.",
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,What type of discount is it when a creditor waives a portion of the total debt?,Trade,Allowed,Received,Quantity,c,Discount received occurs during the settlement of a liability to a creditor.,
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2024,board,"Mr. Samiran's Cash Payment Journal for the month of June 2021 was as follows:
Date 2021 | Debit (TK) | Reference | Debit (TK) | Debit (TK) | Debit (TK) | Credit (TK) | Credit (TK)
June 2 | Purchase | | 5,000 TK | | | 5,000 TK |
June 17 | Accounts Payable - Himu | | | 8,000 TK | | 8,000 TK |
June 19 | Accounts Payable - Sohag | | | 4,100 TK | | 4,000 TK | 100
June 30 | Purchase | | 15,000 TK | | | 15,000 TK |
Total | | | 20,000 TK | 12,100 TK | 0 | 32,000 TK | 100
The total of Mr. Samiran's Purchase Journal for the month of June was 30,000 TK
Q: What type of journal is used in the stimulus?","General Journal
(","Special Journal
(","Corrective Journal
(",Adjusting Journal,b,"Cash Payment, Cash Receipt, Sales, and Purchase journals are all 'Special Journals'.","<div class=""overflow-x-auto my-4""><table class=""min-w-full divide-y divide-gray-200 dark:divide-gray-700 border border-gray-200 dark:border-gray-700""><tr class=""bg-gray-50 dark:bg-gray-800""><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Date 2021</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Debit (TK)</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Reference</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Debit (TK)</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Debit (TK)</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Debit (TK)</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Credit (TK)</th><th class=""px-4 py-2 text-left text-xs font-semibold uppercase tracking-wider text-gray-500 dark:text-gray-400 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Credit (TK)</th></tr><tr class=""bg-white dark:bg-gray-900""><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">June 2</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Purchase</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">5,000 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">5,000 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td></tr><tr class=""bg-white dark:bg-gray-900""><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">June 17</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Accounts Payable - Himu</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">8,000 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">8,000 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td></tr><tr class=""bg-white dark:bg-gray-900""><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">June 19</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Accounts Payable - Sohag</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">4,100 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">4,000 TK</td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">100</td></tr><tr class=""bg-white dark:bg-gray-900""><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">June 30</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Purchase</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">15,000 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">15,000 TK</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td></tr><tr class=""bg-white dark:bg-gray-900""><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">Total</td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-left text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0""></td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">20,000 TK</td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">12,100 TK</td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">0</td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">32,000 TK</td><td class=""px-4 py-2 text-right text-sm text-gray-700 dark:text-gray-300 border-r border-gray-200 dark:border-gray-700 last:border-r-0"">100</td></tr></table></div>"
